//RL6302_MAC_PHY_Parameter_v046_20141008
// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/RUSSIAN				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	18	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	18	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	16	
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	17	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	17	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 4: ===========================================							
//							
##	2.4G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	16	15	15	
CH02	17	15	15	
CH03	17	15	15	
CH04	17	15	15	
CH05	17	15	15	
CH06	17	15	15	
CH07	17	15	15	
CH08	17	15	15	
CH09	17	15	15	
CH10	17	15	15	
CH11	15	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END       						
//							
//Table 5: ===========================================							
//							
##	2.4G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	15	14	14	
CH02	16	14	14	
CH03	16	14	14	
CH04	16	14	14	
CH05	16	14	14	
CH06	16	14	14	
CH07	16	14	14	
CH08	16	14	14	
CH09	16	14	14	
CH10	16	14	14	
CH11	14	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END       						
//							
//Table 6: ===========================================							
//							
##	2.4G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	14	13	13	
CH02	15	13	13	
CH03	15	13	13	
CH04	15	13	13	
CH05	15	13	13	
CH06	15	13	13	
CH07	15	13	13	
CH08	15	13	13	
CH09	15	13	13	
CH10	15	13	13	
CH11	13	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END       						
//                							
//Table 7: ===========================================							
//                							
##	2.4G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	16	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 8: ===========================================							
//							
##	2.4G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	15	15	15	
CH04	17	15	15	
CH05	17	15	15	
CH06	17	15	15	
CH07	17	15	15	
CH08	17	15	15	
CH09	17	15	15	
CH10	17	15	15	
CH11	15	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END						
//							
//Table 9: ===========================================							
//							
##	2.4G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	14	14	14	
CH04	16	14	14	
CH05	16	14	14	
CH06	16	14	14	
CH07	16	14	14	
CH08	16	14	14	
CH09	16	14	14	
CH10	16	14	14	
CH11	14	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END						
//							
//Table 10: ===========================================							
//							
##	2.4G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	13	13	13	
CH04	15	13	13	
CH05	15	13	13	
CH06	15	13	13	
CH07	15	13	13	
CH08	15	13	13	
CH09	15	13	13	
CH10	15	13	13	
CH11	13	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END						
//							
//Table 11: ===========================================							
//							
##	5G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH36	22	18	18.5	
CH40	25	18	18.5	
CH44	25	18	18.5	
CH48	25	18	18.5	
//5G Band 2       	  						
CH52	18	18	18.5	
CH56	18	18	18.5	
CH60	18	18	18.5	
CH64	18	18	18.5	
//5G Band 3           							
CH100	19	23	18.5	
CH104	19	23	18.5	
CH108	19	23	18.5	
CH112	19	23	18.5	
CH116	19	23	18.5	
CH120	19	23	18.5	
CH124	19	23	18.5	
CH128	19	23	18.5	
CH132	19	23	18.5	
CH136	19	23	18.5	
CH140	19	20	18.5	
//5G Band 4       	  						
CH149	26	16	18.5	
CH153	26	16	18.5	
CH157	26	16	18.5	
CH161	26	16	18.5	
CH165	26	16	18.5	
##	END						
//							
//Table 12: ======================================							
//							
##	5G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH36	20	18	18.5	
CH40	24	18	18.5	
CH44	24	18	18.5	
CH48	24	18	18.5	
//5G Band 2 				  			 
CH52	18	18	18.5	
CH56	18	18	18.5	
CH60	18	18	18.5	
CH64	18	18	18.5	
//5G Band 3 				  			 
CH100	19	23	18.5	
CH104	19	23	18.5	
CH108	19	23	18.5	
CH112	19	23	18.5	
CH116	19	23	18.5	
CH120	19	23	18.5	
CH124	19	23	18.5	
CH128	19	23	18.5	
CH132	19	23	18.5	
CH136	19	23	18.5	
CH140	19	21	18.5	
//5G Band 4 				  			 
CH149	26	16	18.5	
CH153	26	16	18.5	
CH157	26	16	18.5	
CH161	26	16	18.5	
CH165	26	16	18.5	
##	END						
//							
//Table 13: ===========================================							
//							
##	5G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH36	20	18	15.5	
CH40	24	18	15.5	
CH44	24	18	15.5	
CH48	24	18	15.5	
//5G Band 2 				  			
CH52	18	18	15.5	
CH56	18	18	15.5	
CH60	18	18	15.5	
CH64	18	18	15.5	
//5G Band 3 				  			
CH100	19	23	15.5	
CH104	19	23	15.5	
CH108	19	23	15.5	
CH112	19	23	15.5	
CH116	19	23	15.5	
CH120	19	23	15.5	
CH124	19	23	15.5	
CH128	19	23	15.5	
CH132	19	23	15.5	
CH136	19	23	15.5	
CH140	19	20	15.5	
//5G Band 4 				  			
CH149	26	15	15.5	
CH153	26	15	15.5	
CH157	26	15	15.5	
CH161	26	15	15.5	
CH165	26	15	NA	
##	END                          						
//							
//Table 14: ===========================================							
//							
##	5G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH36	22	14	14	
CH40	22	14	14	
CH44	22	14	14	
CH48	22	14	14	
//5G Band 2 				  			
CH52	22	14	14	
CH56	22	14	14	
CH60	22	14	14	
CH64	22	14	14	
//5G Band 3 				  			
CH100	22	14	14	
CH104	22	14	14	
CH108	22	14	14	
CH112	22	14	14	
CH116	22	14	14	
CH120	22	14	14	
CH124	22	14	14	
CH128	22	14	14	
CH132	22	14	14	
CH136	22	14	14	
CH140	22	14	14	
//5G Band 4 				  			
CH149	22	14	NA	
CH153	22	14	NA	
CH157	22	14	NA	
CH161	22	14	NA	
CH165	22	14	NA	
##	END                       						
//							
//Table 15: ===========================================							
//							
##	5G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH36	22	13	13	
CH40	22	13	13	
CH44	22	13	13	
CH48	22	13	13	
//5G Band 2 				  			
CH52	22	13	13	
CH56	22	13	13	
CH60	22	13	13	
CH64	22	13	13	
//5G Band 3 				  			
CH100	22	13	13	
CH104	22	13	13	
CH108	22	13	13	
CH112	22	13	13	
CH116	22	13	13	
CH120	22	13	13	
CH124	22	13	13	
CH128	22	13	13	
CH132	22	13	13	
CH136	22	13	13	
CH140	22	13	13	
//5G Band 4 				  			
CH149	22	13	NA	
CH153	22	13	NA	
CH157	22	13	NA	
CH161	22	13	NA	
CH165	22	13	NA	
##	END                       						
//                							
//Table 16: ===========================================							
//                							
##	5G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH38	16	19	18.5	
CH46	23	19	18.5	
//5G Band 2       	  						
CH54	20	19	18.5	
CH62	15	19	18.5	
//5G Band 3       							
CH102	18	20	18.5	
CH110	19	23	18.5	
CH118	20	23	18.5	
CH126	19	23	18.5	
CH134	19	22	18.5	
//5G Band 4         							
CH151	26	16	18.5	
CH159	26	16	18.5	
##	END       						
//                							
//Table 17: ===========================================							
//							
##	5G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH38	16	19	15.5	
CH46	23	19	15.5	
//5G Band 2       	  						
CH54	20	19	15.5	
CH62	15	19	15.5	
//5G Band 3       	  						
CH102	18	20	15.5	
CH110	19	23	15.5	
CH118	20	23	15.5	
CH126	19	23	15.5	
CH134	19	22	15.5	
//5G Band 4       	  						
CH151	26	15	15.5	
CH159	26	15	15.5	
##	END								
//                							
//Table 18: ===========================================							
//							
##	5G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH38	22	14	14	
CH46	22	14	14	
//5G Band 2       	  						
CH54	22	14	14	
CH62	22	14	14	
//5G Band 3       	  						
CH102	22	14	14	
CH110	22	14	14	
CH118	22	14	14	
CH126	22	14	14	
CH134	22	14	14	
//5G Band 4       	  						
CH151	22	14	NA	
CH159	22	14	NA	
##	END						
//                							
//Table 19: ===========================================							
//							
##	5G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH38	22	13	13	
CH46	22	13	13	
//5G Band 2       	  						
CH54	22	13	13	
CH62	22	13	13	
//5G Band 3       	  						
CH102	22	13	13	
CH110	22	13	13	
CH118	22	13	13	
CH126	22	13	13	
CH134	22	13	13	
//5G Band 4       	  						
CH151	22	13	NA	
CH159	22	13	NA	
##	END						
//                							
//Table 20: ===========================================							
//							
##	5G, 80M, 1T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1							
CH42	15	19	16	
//5G Band 2       	  						
CH58	15	19	16	
//5G Band 3       	  						
CH106	17	20	16	
CH122	20	22	16	
//5G Band 4       	  						
CH155	22	16	NA	
##	END						
//                							
//Table 21: ===========================================							
//							
##	5G, 80M, 2T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1       							
CH42	15	19	15	
//5G Band 2       	  						
CH58	15	19	15	
//5G Band 3       	  						
CH106	17	20	15	
CH122	20	22	15	
//5G Band 4       	  						
CH155	22	15	NA	
##	END						
//                							
//Table 22: ===========================================							
//							
##	5G, 80M, 3T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1       							
CH42	22	14	14	
//5G Band 2       	  						
CH58	22	14	14	
//5G Band 3       	  						
CH106	22	14	14	
CH122	22	14	14	
//5G Band 4       	  						
CH155	22	14	NA	
##	END						
//                							
//Table 23: ===========================================							
//							
##	5G, 80M, 4T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	RUSSIAN	
//5G Band 1       							
CH42	22	13	13	
//5G Band 2       	  						
CH58	22	13	13	
//5G Band 3       	  						
CH106	22	13	13	
CH122	22	13	13	
//5G Band 4       	  						
CH155	22	13	NA	
##	END						
